y,age,educ,female,exp,yl1,yl2,yl3,yp1,yp2,owage2,owage1
1.932588,48,12,0,30,2.551477,2.564899,1.992533,1.913657,1.941806,1.933943971,1.705174401
1.537279,44,9,0,29,1.615933,1.698469,1.704649,1.506411,1.60172,1.481557313,1.805902667
1.763207,44,9,1,29,1.841522,1.814281,1.772915,1.785967,2.042114,1.506432722,1.53726511
1.651731,45,9,1,30,1.402694,1.518964,1.392923,1.570276,1.58761,1.547700425,1.556568495
2.193335,48,12,0,30,2.352504,2.348562,2.224209,2.239148,2.250265,2.62851718,2.894352643
1.438488,45,9,0,30,1.435041,1.457741,1.443598,1.413788,1.415929,1.583420824,1.392426058
1.628193,47,12,0,29,1.607935,1.694502,1.677988,1.632174,1.627766,1.620100671,1.639459667
2.688142,43,9,0,28,2.561831,2.87462,2.839663,2.814528,2.742843,2.133230143,1.889613394
2.06705,42,9,0,27,2.280963,1.685179,1.616179,2.257979,2.252018,2.3517155,1.574156617
2.399811,46,12,0,28,2.400456,2.345057,2.299771,2.408046,2.416743,2.397590433,2.557215496
3.059261,48,12,1,30,2.861764,2.826409,2.830845,2.919565,2.96089,2.813881394,2.107821872
2.770419,43,9,0,28,2.630878,2.349998,2.35095,2.705362,2.634142,1.65281476,1.588869857
3.14203,48,12,1,30,2.906911,2.917738,2.908112,3.129724,3.125951,1.945707929,2.041115585
2.701468,44,12,0,26,2.605416,2.684806,2.707506,2.679021,2.682288,1.808572356,2.242381711
1.982442,42,6,0,30,1.528687,1.549984,1.582484,1.95688,2.035,1.923878435,1.570959857
2.276469,45,9,1,30,1.501745,1.508735,1.503825,2.206126,2.358385,1.252696143,1.256417438
2.28657,44,9,0,29,2.1995,2.202495,2.171324,2.26187,2.23627,1.507576407,2.093133254
2.533804,47,12,0,29,1.995615,2.026829,1.831696,2.558282,2.563615,1.495084926,1.616713249
1.662249,48,12,1,30,2.185036,2.306492,2.329192,1.643323,1.652431,1.533333157,2.269223462
3.097363,45,16,1,23,3.327944,3.2757,3.25247,3.09706,3.243867,2.479308488,2.269087566
2.623695,40,12,1,22,2.324446,2.399868,2.409965,2.598095,2.606095,2.163311621,2.197522103
1.20669,43,12,0,25,1.93042,1.900317,1.898368,1.213433,1.249511,1.310293505,1.378973323
1.314135,42,9,0,27,1.336835,1.360535,1.393035,2.202229,1.54892,1.3376931,1.212564875
2.327392,41,12,0,23,2.392015,2.387533,2.298149,2.327672,2.302072,2.078676682,2.041787048
3.036884,45,12,0,27,2.754286,2.726007,2.698763,2.929777,2.889494,1.435462342,1.496809449
3.277478,50,16,1,28,2.887056,3.664463,2.966575,3.245277,3.256324,2.687775824,2.471754644
2.587038,46,12,1,28,2.347948,2.340841,2.322488,2.602361,2.619011,2.701026455,2.612902299
2.560888,47,12,0,29,2.551899,2.554241,2.439875,2.566791,2.570429,2.947170141,2.646136623
1.74271,42,9,0,27,2.034523,2.146435,2.096907,2.049032,1.64589,1.735112508,2.012541228
1.388286,44,9,0,29,2.160822,1.608704,1.574811,1.456331,1.419486,1.555568615,1.551232576
1.991606,43,12,1,25,2.289927,2.228524,2.273929,1.920386,1.976781,1.90948351,1.837179172
2.197632,47,12,0,29,2.252012,2.307293,2.315971,2.270008,2.296615,1.917846319,2.027942884
2.14086,41,6,0,29,1.690482,1.734387,1.755731,1.976582,1.921345,1.450254093,1.757193628
1.806751,44,9,0,29,1.886781,1.854978,1.723542,1.808517,1.944407,1.585914118,1.96711048
2.686688,48,12,0,30,2.494355,2.597014,2.589916,2.584545,2.580091,2.815137494,2.649112035
2.4262,45,12,0,27,2.432279,1.972251,1.856243,2.387324,2.302692,1.651270947,1.5405778
2.053732,42,6,0,30,1.961272,2.088543,2.108018,2.029631,2.042116,2.216911762,2.126631975
2.552764,42,12,0,24,3.139291,2.876196,2.834785,2.581978,2.595168,2.547702459,1.857460338
2.003778,42,9,0,27,1.637824,1.615075,1.353763,2.008716,2.027876,1.659646448,1.416533504
2.637103,45,12,1,27,2.711701,2.699296,2.798531,2.678919,2.702652,2.679779701,2.7306076
2.543904,43,16,0,21,2.543211,2.566911,2.628738,2.667235,2.594622,2.054351435,1.722684749
1.85109,47,12,1,29,1.945184,1.93801,1.939639,1.84883,1.931349,1.840213969,2.476624504
1.504532,41,12,0,23,1.612365,1.635787,1.586224,1.446294,1.446714,1.555544064,1.553363886
1.435478,42,9,0,27,1.459935,1.343347,1.319816,1.379804,1.50487,1.969462583,1.437643763
2.587038,45,16,0,23,3.212008,3.206442,3.158771,2.630301,2.630231,1.898256729,2.334483792
1.396581,41,9,0,26,1.417741,1.441441,1.250412,1.634245,2.01501,1.214818273,1.04436017
3.081482,43,12,0,25,3.107224,3.018389,2.887325,3.085959,3.125777,2.585147498,2.569120186
3.061296,45,16,0,23,2.69489,2.364535,2.75531,3.003503,3.37187,2.022895757,2.021986042
1.850304,47,12,1,29,1.852056,1.874756,1.878751,1.81314,1.988211,1.823175327,1.265832083
1.356548,44,9,0,29,1.541871,1.495577,1.562755,1.330948,1.42596,1.148032079,1.470589128
2.425671,45,9,0,30,2.327693,2.37715,2.195262,2.337949,2.374377,1.547641545,1.55589694
